,title,price,link,shipping,rating,seller,promotion,full,page
0,Mesa Portafolio Plegable 180cm Resistente Exterior Jardin Color Blanco,"$
159.900",https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=qQkVLJy2QSYfNlcSC3yOxET%2FqTK5t9cDNe91k0zc8FX%2FZmtc43dQWAD7AyvUogx381%2FgDcrLyvW0xEpczgxBgdRHKGQyct%2FvigZqP5zVQt2%2FccitjX45PTuleN9IFpxo4Jju%2FX1BUkiTEPfcAYkaLgF9qi019g7jhC2m9rFVykI2gVoqr973rjwKEQ578WptJCSXJJNwNA8tpdZy3kIOZGEve8nSJJZHjoZ2REowpGgOV5g0%2BBu3zNfh16Im4e98RMHi%2FPErVKoVda%2FFpwmNK9TLLJqWGw2T7zSDhnRZkDVuJYfU%2BykllHOgHx9qBYFYoyZAtPJGXsdTKsEPZQFiQZEutzzDmKRvRSlFE%2BS4l5PdjY6YPx8IrSlq5oRyZwO264ZFgMUgGrZnhEbt7%2FIU5l9Za7%2BI6vvxF48TH6lwu%2BAFoYxJ5DlLsir9z%2By6d0GMXo02T2f6%2BK45HXjYYU%2ByMp%2BPhz00ctGhXMxkV045iLbxRVRtmuFkXIasgSTwmj0KhyaEQoy3Hpy9zDUcfmSrWjFXAKZeqMM95LpuEDEYLriHda2aVJ2Pc0vmbfF85F1vbVwOImFAKcDndnvwAQUNJ5LVW1DPDiWN%2BHD72lyIDjzvL6rI0PcFLFlWiV3FAj%2BEt0fGpQ3ewPiG56Tc7M%2FPiLNiaYZFbu%2FPi933WRPlR3hkGlu1e4dxmMtJ3lEtm2n0OliBt9u%2B0JGxencBT4XvkGK8%2Fya44D5qFgASdeBmjDKCk2TpiJXTV%2BTX6Siupq61J3Arz%2Fc4ZgbuEpZwNY5VSS%2B%2FqP6AB9ukP7QOf8w7j%2F%2FbSXeqJpFJo6p1kLOHGRnyblRkyAEtMUu6aZiMqHRQuXW5S6rqxOEareFFfa2DTCAYUoKUiA9U4xq8%2FKvjuK26r%2FwLFM1Gajvl5BGJcvemyXizmeL7%2B1jo877qyK28RSeB6T09tVZ8S7Q5piajjo9uxY1ImOK6VzViMQ%3D%3D#polycard_client=search-nordic&tracking_id=b7a74e4d-7ce2-4228-85f9-6c81d58fef48&wid=MCO2634770484&sid=search,Llega gratis mañana sábado,4.7,COLNOVA,Promocionado,FULL,1
1,Mesa Plegable Plástica Portátil Tipo Portafolio Para Jardin Eventos y exterior Color Blanco de 180 cm,"$
449.999",https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=%2Fpt0Eqb0r8tuijX6KQ5DcICTeAXVnBwCCXe7HILqLySSiBawXQLsV5XNozS5Obg2QZzke%2FJbXa3ASZSyAbr4Xl%2F35dZgETVhJwPuPXhUkfgT5U1RBMfw6oVd4HhVd3z006XTluFXcQnMo%2FcTiFyhjNb%2Fn8sWEN1c%2FWuxwfUHAY8qrFIybNQXq5szewWwOv9muX69HIousZWuT1mIFpzZ%2FqddH2KacilK8nC2MWjVoFHy6DebAltJwOl9cr6IqE8M8zX8cPWBmr9%2BXCU7CmbsdeLgLalX4vhx4BqoKC8PVimmualHprxotaL0B1PAzhKT2jRXzRIUA8TlelHjGgaDXbelBMn%2BwYGdKNvN9RZ6B%2Fet%2FCOrhhycjDq0sriTu1DisTGDDcK4oN5UAEEZceXpfogd%2F%2Bs5rFeSfUUhhVf701aeKsirCmJ1%2BchgmfB%2FOPQRRQiATI839Bbi%2BkkcSjNZvQyfM0BVXJgdabtMkMRR5FVGSbP%2FFhp%2FZ279086DimE0D%2FgXybfnrwxuPAjYKg31dZiqAcJxFfuRacWNaDBvUOJBxBVNQHkyhB2p3FB2FJlcRgDnw1tmCXoScjQTpIiCyKi8TtmeBhpubqJhe%2B7c2YlK0eDEkA%2BeDp0dn4TpV4xNYjYeBXhJMYZKN245wIMJ1MEQ9AZsO%2BGCR7CTugIqI8ohnw32VAJvDnof%2BdAUpvTGqyQh4lpg36fvP3FpzzC0dJd9C%2BAYn7y3Kh5mYueWF940HYpzhmY5Rk%2FzjsHHDG9F3MwGnz2Q1zh4AlZvgfySgFM1jDkU1pLo58fgSUytbwee9cNj2csMnmN672I2%2F%2BH1qbAo5O%2FeEr3g8HtoGOWyYrapBvpK0KKMGHfutcw4%2Fgq2T6ZmUJyDiLVvjhNq%2BJiS1rtcoHDGdlYKgX4m195DLCyWDob%2F4B%2FpCZaOltU3TCW4yRmxR1d4de8VM2LbFH3oC600WO61wMlf9PZ3zHxDtFIERId%2Be%2FmBBUs5FrhC33zIP5oiYORyQ%2FIIVKsCoA%3D%3D#polycard_client=search-nordic&tracking_id=b7a74e4d-7ce2-4228-85f9-6c81d58fef48&wid=MCO1329978429&sid=search,Llega gratis mañana sábado,4.8,EasyShop,Promocionado,FULL,1
2,Mesa Portafolio Plegable 180cm Lisa Exterior Jardin Comedor,"$
307.800",https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=gsXaovDaltFuQ0dtX8LvoTyYAqg08t%2BaS1czMsHOe9qsdUu8V0CICPZLZ0G3pc1c53zZyatCRqmyccB1VkXDHVVq1jtwWdWPjmTsnduqpA0JWZCe87vXutQgCkU7qFYvPjb%2BTKPpGAk5xhHL%2FnL8tm4NdCvBonvyd1bPadMAmOayGqFOkcX5wq1RxNkiT3TEgAriaGTK0jtHHYze70TFsth9fzhRlYqcE5HnJtN6rjzfVVNGLWwGZ5a95O6A1O41H0EPt4cQgVZ%2BPTOHIoatvOXa9TBwWclqYhvMM3Ma36SgpVDssMShl7uwYfw%2B%2FLijtbv%2B411apnCpA7LbCMrCCQjntt%2BnbBv%2Bd41vXjNCpHvN6QHSTIJqOwz78li1Ib0KErQwc2XRBSUZIXnAKBCptac7x2WGUXBVTt7r%2BE9iWcHJZJHe5Y287YZ%2BNZtQwrZ9dnY1nLZuFnSg8vm5ANRoVDHeyEu%2FG5x7E9dq2Jfqg%2BQAaaxRTDZZp53qckqCQ5RSkSTgyz8OAvtZuARzplcnrHkA4rfNZKIAKVZ43JUqc7nYUfZeHFks8weSAmnG3%2FCPX1ifnnBh%2BnkaBjTa6sntffsA%2BCHAhiYbABUHmVlysD5Fuzhu6EYLSImyCmX%2FyLTdhVHyDud7Cs6fOVEgKpmTWzh%2FcoE71D69jbCICaZ0WY%2BiIpdTQqBMk9ipRs8bvfhhVmivAnjTOD3qCCovf5PDBBLGHbi8mfq0SzRlr8VpoQQ6cUAMGlj9NOzAK6qrorLF4x9Ot%2BZkH5zWa8lzRu4hZr1RRYd81UJwryviHqDeW9I0SmjjjR6YPJBkBc4G055dJzEvzBpq6ybgiHx4oUSfOnYm%2FZuKfHX9t7xrT9wmRDasS4lFWwnINMTjSaAJoWkdVRvPgGK%2BUil43eSIkZEUQubzSUUOAC3vwhtD3g41goTNdvhaaFolTMDrpeTlaWsk80457w%3D%3D#polycard_client=search-nordic&tracking_id=b7a74e4d-7ce2-4228-85f9-6c81d58fef48&wid=MCO2833702982&sid=search,Llega gratis mañana sábado,4.6,Vendido por BONAM,Promocionado,FULL,1
3,Escritorio Plegable Auxiliar Triple Altura Mesa Resistente,"$
159.900",https://articulo.mercadolibre.com.co/MCO-2572898814-escritorio-plegable-auxiliar-triple-altura-mesa-resistente-_JM?searchVariation=181194344012#polycard_client=search-nordic&searchVariation=181194344012&position=42&search_layout=grid&type=item&tracking_id=b7a74e4d-7ce2-4228-85f9-6c81d58fef48,Envío gratis,4.8,induhogar,,,1
4,Mesa Portafolio Plegable 180cm Resistente Exterior Jardin Color Blanco,"$
159.900",https://www.mercadolibre.com.co/mesa-portafolio-plegable-180cm-resistente-exterior-jardin-color-blanco/p/MCO26332146?searchVariation=MCO26332146#polycard_client=search-nordic&searchVariation=MCO26332146&backend_model=search-backend&position=4&search_layout=grid&type=product&tracking_id=b7a74e4d-7ce2-4228-85f9-6c81d58fef48&wid=MCO2634770484&sid=search,Llega gratis mañana sábado,4.7,COLNOVA,,FULL,1
5,Mesa Shia Color 11,"$
298.550",https://www.mercadolibre.com.co/mesa-shia-color-11/p/MCO26981403?searchVariation=MCO26981403#polycard_client=search-nordic&searchVariation=MCO26981403&position=7&search_layout=grid&type=product&tracking_id=b7a74e4d-7ce2-4228-85f9-6c81d58fef48&wid=MCO1338133537&sid=search,Envío gratis,4.9,Rimax,,,1
6,"Mesa De Noche Colore Rta 41,6x40x35,2 Color Wengue Color Negro","$
175.900",https://www.mercadolibre.com.co/mesa-de-noche-colore-rta-416x40x352-color-wengue-color-negro/p/MCO22655898?searchVariation=MCO22655898#polycard_client=search-nordic&searchVariation=MCO22655898&position=5&search_layout=grid&type=product&tracking_id=b7a74e4d-7ce2-4228-85f9-6c81d58fef48&wid=MCO1559138868&sid=search,Llega gratis mañana sábado,4.7,RTA Muebles,,FULL,1
7,"Mesa Escritorio, Madera Rústico, Nuevas","$
175.000",https://articulo.mercadolibre.com.co/MCO-605819685-mesa-escritorio-madera-rustico-nuevas-_JM?searchVariation=176777601976#polycard_client=search-nordic&searchVariation=176777601976&position=43&search_layout=grid&type=item&tracking_id=b7a74e4d-7ce2-4228-85f9-6c81d58fef48,,4.9,Vendido por LATORREDEAJEDREZMOBILIARIO,,,1
8,"Mesa Para Tv Navi, Hasta 65, Bardolino Y Blanco Marquez","$
229.900",https://www.mercadolibre.com.co/mesa-para-tv-navi-hasta-65-bardolino-y-blanco-marquez/p/MCO36772550?searchVariation=MCO36772550#polycard_client=search-nordic&searchVariation=MCO36772550&position=13&search_layout=grid&type=product&tracking_id=b7a74e4d-7ce2-4228-85f9-6c81d58fef48&wid=MCO1423442967&sid=search,Envío gratis,4.5,RTA Muebles,,,1
9,Mesa Plegable Marca Magnux Portafolio 180cm Resistente para Interior y Exterior | Ideal para Jardín y Eventos I Color Blanco,"$
399.900",https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=QMGNVNdir47ZoBJF5db6hYod6CrCn4cX598%2FeZdeTKyXDzWzD0vNIwgof1KSurei3xMiILt0owMg%2FjuLgPz43vf%2FpGLvh6FRc%2BsUEoXtIKxCpIv1ob2pgd9wbSdqkzvHRFhjU0GiuKm6ZnDvxhjQJ7jDLOtVbYKx1u88XZq7D42PLFWepKMMNTmls%2BJrV2tc67TMmTI%2BgE%2BUHwWHEq%2FdA1w5C3idUp4%2BvtA6P1w4oGOenOZl5644PompWz%2B8SLVmShZvGRGhtITGxwM6AOxP4Gs704rHSkj8qQroMfFbzEr7Gy%2Bk8JFSzKVAJfe7ci8PriWm0SCcgt4vwoZ9e9IrYzF2PiZt4WcdpSdVTMTSqhRwFDdz1MXn%2ByF5WKMGM%2Bo%2FJ1Jna9K2YHmLyfgo9d84Z6CGdNA6s8Te%2FlP0Ij46qof21sO7f586B6BZCJLZTSZFz7rhq40xMEXhOrajTYrbchWMh6n0axIRJdrYm9FLTV9QJZk33voB4Lio6lQHBvwUL8cKB4en9xHyQt3kCBeGC%2BzbXMf6wl400gS5lYwA%2BTkaNQkxI0Cx1HLPeh51HXYaZa%2B%2BHu2WmUAApwl42MuhuVS%2Bls5UjJDEwAJirSLv43E3iLE2n%2FLIfzvqurWMdlLWNVG37ML9CKQvnpJX%2BMOeBS7hedI0R0qTEdgMAOAtGPUw9b8s9km0w1nmdtsedJQ0YQKi4azUIs6A1lVtkVkLq0BVD0aJg%2Bv0IKytzw8Smx3rcn1X26pDyTQj77PuCKncwswUJSsUmRl9MzPam3X2%2B6Ux2%2F3qSoBfQt6sdPZPemstFJGBTXjkec2FHbdMEKmp2D%2FzPHEsauWcvlQEVsRe49EMGUiNjYntP5z3iEmP72jdjiTSB6SP4h9Byd88%2FTafXd6iiUfnqMBvndW6dNk9f%2FnoG9IcnvmAOopLjRNpy%2Fwq9%2FiWdPXlHPyFyWBm0kh9JeOKYYX%2BOV%2BkxmT%2FSa7ntPSzsjefItRWft3TmmmyBeOTV4kvECV5%2FNnFiNUaAAyB9dJs9XYL0n93O7r85USIGRH6#polycard_client=search-nordic&tracking_id=b7a74e4d-7ce2-4228-85f9-6c81d58fef48&wid=MCO1405986293&sid=search,Llega gratis mañana sábado,4.9,MAGNUX,Promocionado,FULL,1
